# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed,number_stages
70.0,0.2,1.676691,0.3353381,7.726055,1.545211,3
70.0,0.25,1.431167,0.3577917,6.902109,1.725527,3
70.0,0.3,1.666122,0.4998365,7.045656,2.113697,3
70.0,0.35,1.667604,0.5836612,6.850237,2.397583,3
70.0,0.4,1.636395,0.6545582,6.780734,2.712293,3
70.0,0.45,1.655252,0.7448633,7.056736,3.175531,3
70.0,0.5,1.742381,0.8711904,7.610774,3.805387,3
70.0,0.55,1.88535,1.036943,8.378659,4.608262,3
70.0,0.6,2.14006,1.284036,9.502108,5.701265,3
70.0,0.65,2.680543,1.742353,11.68348,7.594259,3
87.22222,0.2,3.358238,0.6716476,12.22939,2.445877,3
87.22222,0.25,2.957435,0.7393587,11.28094,2.820235,3
87.22222,0.3,2.756998,0.8270993,10.90232,3.270696,3
87.22222,0.35,2.693087,0.9425806,11.00498,3.851745,3
87.22222,0.4,2.712237,1.084895,11.40748,4.562991,3
87.22222,0.45,2.818155,1.26817,12.04228,5.419024,3
87.22222,0.5,3.060287,1.530143,13.12448,6.562241,3
87.22222,0.55,3.560252,1.958138,15.15653,8.336094,3
87.22222,0.6,4.904907,2.942944,20.26348,12.15809,3
87.22222,0.65,14.44899,9.391847,61.51545,39.98505,3
104.4444,0.2,5.143986,1.028797,19.82245,3.96449,3
104.4444,0.25,4.632832,1.158208,18.44297,4.610743,3
104.4444,0.3,4.378253,1.313476,17.91301,5.373903,3
104.4444,0.35,4.3217,1.512595,17.95634,6.284718,3
104.4444,0.4,4.465138,1.786055,18.66702,7.466809,3
104.4444,0.45,4.883958,2.197781,20.38803,9.174612,3
104.4444,0.5,5.929329,2.964665,24.46539,12.23269,3
104.4444,0.55,9.327906,5.130349,37.82239,20.80231,3
121.6667,0.2,7.75923,1.551846,31.11726,6.223453,3
121.6667,0.25,7.060209,1.765052,28.73695,7.184237,3
121.6667,0.3,6.826649,2.047995,27.99674,8.399021,3
121.6667,0.35,6.99966,2.449881,28.75851,10.06548,3
121.6667,0.4,7.776501,3.1106,31.84686,12.73874,3
121.6667,0.45,10.03274,4.514732,40.33057,18.14875,3
121.6667,0.5,19.28685,9.643427,79.4903,39.74515,3
138.8889,0.2,11.55971,2.311942,46.70643,9.341285,3
138.8889,0.25,10.832,2.708001,43.92885,10.98221,3
138.8889,0.3,11.02327,3.30698,44.75795,13.42738,3
138.8889,0.35,12.53958,4.388853,50.30937,17.60828,3
138.8889,0.4,17.40949,6.963794,69.94692,27.97877,3
156.1111,0.2,17.63034,3.526069,70.99605,14.19921,3
156.1111,0.25,17.73302,4.433255,71.0745,17.76862,3
156.1111,0.3,20.66565,6.199695,82.23629,24.67089,3
156.1111,0.35,31.97742,11.1921,130.4312,45.65092,3
173.3333,0.2,29.6411,5.928221,117.2601,23.45202,3
173.3333,0.25,35.36107,8.840267,141.3604,35.34011,3
190.5556,0.2,64.78719,12.95744,262.5632,52.51263,3
70.0,0.2,1.828724,0.3657449,7.756567,1.551313,5
70.0,0.25,1.545572,0.386393,6.924835,1.731209,5
70.0,0.3,1.882176,0.5646528,8.359665,2.507899,5
70.0,0.35,1.939744,0.6789105,8.200739,2.870259,5
70.0,0.4,1.928417,0.7713668,7.866161,3.146464,5
70.0,0.45,1.907574,0.8584083,7.729474,3.478263,5
70.0,0.5,1.955746,0.9778731,8.122044,4.061022,5
70.0,0.55,2.070539,1.138796,8.625062,4.743784,5
70.0,0.6,2.274337,1.364602,9.572107,5.743264,5
70.0,0.65,2.608425,1.695476,11.21597,7.290378,5
87.22222,0.2,4.06504,0.813008,15.3625,3.072499,5
87.22222,0.25,3.56148,0.89037,13.24779,3.311948,5
87.22222,0.3,3.236747,0.9710241,12.18022,3.654065,5
87.22222,0.35,3.082599,1.07891,11.95319,4.183616,5
87.22222,0.4,3.043693,1.217477,11.93496,4.773985,5
87.22222,0.45,3.093212,1.391945,12.39195,5.576378,5
87.22222,0.5,3.252595,1.626297,13.21189,6.605945,5
87.22222,0.55,3.532583,1.94292,14.68099,8.074543,5
87.22222,0.6,3.983019,2.389811,16.9276,10.15656,5
87.22222,0.65,4.807455,3.124846,20.41669,13.27085,5
104.4444,0.2,5.974893,1.194979,21.87196,4.374392,5
104.4444,0.25,5.279077,1.319769,19.99201,4.998002,5
104.4444,0.3,4.900509,1.470153,18.6162,5.58486,5
104.4444,0.35,4.737844,1.658245,18.47428,6.466,5
104.4444,0.4,4.74232,1.896928,18.77385,7.509539,5
104.4444,0.45,4.897833,2.204025,19.85568,8.935057,5
104.4444,0.5,5.227508,2.613754,21.74652,10.87326,5
104.4444,0.55,5.802698,3.191484,24.3568,13.39624,5
104.4444,0.6,6.999884,4.19993,29.22716,17.5363,5
104.4444,0.65,10.67109,6.93621,42.48145,27.61294,5
121.6667,0.2,8.656499,1.7313,32.29992,6.459985,5
121.6667,0.25,7.726086,1.931522,29.12852,7.282131,5
121.6667,0.3,7.244072,2.173222,28.13187,8.439562,5
121.6667,0.35,7.068984,2.474144,28.12076,9.842267,5
121.6667,0.4,7.154493,2.861797,29.21173,11.68469,5
121.6667,0.45,7.47323,3.362954,30.9546,13.92957,5
121.6667,0.5,8.207766,4.103883,34.11256,17.05628,5
121.6667,0.55,9.913104,5.452207,40.7076,22.38918,5
121.6667,0.6,15.2911,9.174661,60.30573,36.18344,5
138.8889,0.2,12.25818,2.451636,46.89888,9.379776,5
138.8889,0.25,10.99611,2.749028,43.08299,10.77075,5
138.8889,0.3,10.40664,3.121993,41.75557,12.52667,5
138.8889,0.35,10.2266,3.579311,41.80833,14.63292,5
138.8889,0.4,10.49088,4.196352,43.22857,17.29143,5
138.8889,0.45,11.40625,5.132814,47.02952,21.16329,5
138.8889,0.5,13.78266,6.891331,55.68406,27.84203,5
138.8889,0.55,21.36365,11.75,83.82652,46.10459,5
156.1111,0.2,16.93708,3.387415,67.03033,13.40607,5
156.1111,0.25,15.27247,3.818118,61.68335,15.42084,5
156.1111,0.3,14.54655,4.363966,59.40167,17.8205,5
156.1111,0.35,14.61322,5.114628,59.94072,20.97925,5
156.1111,0.4,15.708,6.2832,64.29383,25.71753,5
156.1111,0.45,18.9393,8.522686,75.54491,33.99521,5
156.1111,0.5,29.3502,14.6751,114.7975,57.39873,5
173.3333,0.2,22.8414,4.568281,92.42383,18.48477,5
173.3333,0.25,20.86648,5.216619,85.02289,21.25572,5
173.3333,0.3,20.40705,6.122116,83.37399,25.0122,5
173.3333,0.35,21.59965,7.559876,87.63296,30.67153,5
173.3333,0.4,25.87912,10.35165,102.2022,40.88086,5
173.3333,0.45,39.93652,17.97143,155.8011,70.1105,5
190.5556,0.2,30.68627,6.137254,124.7726,24.95452,5
190.5556,0.25,28.88763,7.221907,117.5477,29.38693,5
190.5556,0.3,29.89796,8.969388,120.1372,36.04116,5
190.5556,0.35,35.37269,12.38044,138.7873,48.57555,5
207.7778,0.2,42.08141,8.416282,170.5285,34.1057,5
207.7778,0.25,42.06166,10.51541,167.4675,41.86688,5
207.7778,0.3,48.72039,14.61612,190.4976,57.14928,5
225.0,0.2,61.00347,12.20069,241.1864,48.23728,5
225.0,0.25,68.25954,17.06489,266.2877,66.57192,5
70.0,0.2,1.904741,0.3809481,7.771821,1.554364,6
70.0,0.25,1.602774,0.4006935,6.936197,1.734049,6
70.0,0.3,1.926827,0.5780482,8.367686,2.510306,6
70.0,0.35,1.999714,0.6998999,8.81902,3.086657,6
70.0,0.4,2.009954,0.8039814,8.545609,3.418244,6
70.0,0.45,1.996363,0.8983633,8.135408,3.660933,6
70.0,0.5,2.032326,1.016163,8.382693,4.191347,6
70.0,0.55,2.144237,1.17933,8.891324,4.890228,6
70.0,0.6,2.344614,1.406768,9.874111,5.924467,6
70.0,0.65,2.670116,1.735575,11.25322,7.314593,6
87.22222,0.2,4.242778,0.8485555,17.17245,3.434491,6
87.22222,0.25,3.745226,0.9363066,14.63939,3.659848,6
87.22222,0.3,3.405923,1.021777,12.93868,3.881603,6
87.22222,0.35,3.222931,1.128026,12.44814,4.356849,6
87.22222,0.4,3.162264,1.264906,12.55083,5.020332,6
87.22222,0.45,3.207919,1.443564,12.73719,5.731736,6
87.22222,0.5,3.359912,1.679956,13.67269,6.836347,6
87.22222,0.55,3.626631,1.994647,14.78843,8.133635,6
87.22222,0.6,4.058279,2.434967,16.94329,10.16597,6
87.22222,0.65,4.754737,3.090579,20.25888,13.16827,6
104.4444,0.2,6.27433,1.254866,22.95498,4.590995,6
104.4444,0.25,5.508079,1.37702,20.75787,5.189468,6
104.4444,0.3,5.103672,1.531101,19.64864,5.894593,6
104.4444,0.35,4.912634,1.719422,18.97631,6.64171,6
104.4444,0.4,4.905108,1.962043,19.31553,7.726211,6
104.4444,0.45,5.036997,2.266649,20.17759,9.079914,6
104.4444,0.5,5.341328,2.670664,21.77744,10.88872,6
104.4444,0.55,5.861834,3.224009,24.46768,13.45722,6
104.4444,0.6,6.718151,4.030891,28.32415,16.99449,6
104.4444,0.65,8.628645,5.608619,35.72006,23.21804,6
121.6667,0.2,9.020845,1.804169,33.50266,6.700532,6
121.6667,0.25,8.011866,2.002966,30.38768,7.596919,6
121.6667,0.3,7.497637,2.249291,28.90062,8.670186,6
121.6667,0.35,7.279523,2.547833,28.61044,10.01366,6
121.6667,0.4,7.323575,2.92943,29.23684,11.69474,6
121.6667,0.45,7.607101,3.423196,31.03992,13.96796,6
121.6667,0.5,8.155185,4.077592,33.95925,16.97963,6
121.6667,0.55,9.201247,5.060686,38.43423,21.13883,6
121.6667,0.6,11.67968,7.007809,47.74112,28.64467,6
138.8889,0.2,12.69336,2.538671,48.16824,9.633647,6
138.8889,0.25,11.33544,2.833861,43.87592,10.96898,6
138.8889,0.3,10.66845,3.200536,41.87898,12.5637,6
138.8889,0.35,10.43488,3.65221,41.85021,14.64757,6
138.8889,0.4,10.58168,4.232671,43.41128,17.36451,6
138.8889,0.45,11.10777,4.998499,46.10162,20.74573,6
138.8889,0.5,12.3538,6.176901,51.17689,25.58845,6
138.8889,0.55,15.47606,8.511833,62.65709,34.4614,6
156.1111,0.2,17.38698,3.477396,67.2746,13.45492,6
156.1111,0.25,15.61083,3.902707,61.76814,15.44204,6
156.1111,0.3,14.78173,4.434518,59.65431,17.89629,6
156.1111,0.35,14.54879,5.092075,59.75521,20.91432,6
156.1111,0.4,14.95913,5.983651,61.86662,24.74665,6
156.1111,0.45,16.39007,7.375532,67.39325,30.32696,6
156.1111,0.5,20.22317,10.11159,81.24899,40.62449,6
173.3333,0.2,23.28566,4.657131,92.52882,18.50576,6
173.3333,0.25,21.0224,5.255599,85.3511,21.33778,6
173.3333,0.3,20.01186,6.003557,82.17203,24.65161,6
173.3333,0.35,20.09144,7.032006,82.76908,28.96918,6
173.3333,0.4,21.63206,8.652825,88.34988,35.33995,6
173.3333,0.45,26.22131,11.79959,104.682,47.10691,6
190.5556,0.2,30.5856,6.11712,124.4844,24.89688,6
190.5556,0.25,27.86115,6.965288,114.2929,28.57321,6
190.5556,0.3,27.14123,8.142369,111.3663,33.40989,6
190.5556,0.35,28.58623,10.00518,116.0408,40.61427,6
207.7778,0.2,39.87561,7.975121,163.3273,32.66546,6
207.7778,0.25,37.25136,9.31284,152.2415,38.06038,6
207.7778,0.3,38.09674,11.42902,153.7944,46.13832,6
225.0,0.2,52.7058,10.54116,214.5562,42.91125,6
225.0,0.25,51.68463,12.92116,207.7217,51.93042,6
70.0,0.2,1.980757,0.3961514,7.787075,1.557415,7
70.0,0.25,1.659976,0.4149941,6.947558,1.73689,7
70.0,0.3,1.971489,0.5914467,8.376464,2.512939,7
70.0,0.35,2.035411,0.7123939,8.825384,3.088884,7
70.0,0.4,2.054231,0.8216925,8.850816,3.540327,7
70.0,0.45,2.056381,0.9253716,8.655916,3.895162,7
70.0,0.5,2.089879,1.044939,8.650813,4.325406,7
70.0,0.55,2.195355,1.207445,9.235827,5.079705,7
70.0,0.6,2.396435,1.437861,10.04512,6.027075,7
70.0,0.65,2.723998,1.770599,11.47812,7.46078,7
87.22222,0.2,4.325759,0.8651518,17.48683,3.497366,7
87.22222,0.25,3.850422,0.9626055,15.5185,3.879624,7
87.22222,0.3,3.521236,1.056371,13.90406,4.171219,7
87.22222,0.35,3.327325,1.164564,12.96856,4.538997,7
87.22222,0.4,3.250169,1.300068,12.92946,5.171785,7
87.22222,0.45,3.295777,1.4831,13.14836,5.916764,7
87.22222,0.5,3.437389,1.718694,13.92701,6.963504,7
87.22222,0.55,3.704326,2.037379,15.1051,8.307802,7
87.22222,0.6,4.135032,2.481019,17.11961,10.27177,7
87.22222,0.65,4.815309,3.129951,20.27751,13.18038,7
104.4444,0.2,6.49567,1.299134,24.11045,4.82209,7
104.4444,0.25,5.6811,1.420275,21.53246,5.383115,7
104.4444,0.3,5.241395,1.572419,20.32457,6.09737,7
104.4444,0.35,5.050714,1.76775,19.5207,6.832246,7
104.4444,0.4,5.021436,2.008574,19.85347,7.941388,7
104.4444,0.45,5.152586,2.318664,20.51057,9.229757,7
104.4444,0.5,5.453513,2.726756,22.03896,11.01948,7
104.4444,0.55,5.955291,3.27541,24.47166,13.45941,7
104.4444,0.6,6.752804,4.051682,28.39181,17.03508,7
104.4444,0.65,8.143033,5.292971,34.28556,22.28561,7
121.6667,0.2,9.278566,1.855713,35.3426,7.068521,7
121.6667,0.25,8.237447,2.059362,31.20813,7.802031,7
121.6667,0.3,7.681036,2.304311,29.81875,8.945626,7
121.6667,0.35,7.454345,2.609021,29.12433,10.19352,7
121.6667,0.4,7.487875,2.99515,29.73173,11.89269,7
121.6667,0.45,7.747078,3.486185,31.12605,14.00672,7
121.6667,0.5,8.267886,4.133943,33.97467,16.98733,7
121.6667,0.55,9.142482,5.028365,38.28709,21.0579,7
121.6667,0.6,10.78649,6.471894,45.01356,27.00813,7
138.8889,0.2,13.01077,2.602155,49.79931,9.959862,7
138.8889,0.25,11.61683,2.904209,44.71835,11.17959,7
138.8889,0.3,10.91261,3.273784,42.89221,12.86766,7
138.8889,0.35,10.64658,3.726302,42.34004,14.81902,7
138.8889,0.4,10.75294,4.301177,43.41326,17.3653,7
138.8889,0.45,11.21991,5.048961,46.24745,20.81135,7
138.8889,0.5,12.11539,6.057696,50.53666,25.26833,7
138.8889,0.55,14.00918,7.705047,58.04957,31.92727,7
156.1111,0.2,17.79014,3.558028,68.96379,13.79276,7
156.1111,0.25,15.95021,3.987552,62.52696,15.63174,7
156.1111,0.3,15.04618,4.513853,59.77697,17.93309,7
156.1111,0.35,14.75774,5.165209,59.78648,20.92527,7
156.1111,0.4,15.00378,6.001511,61.95955,24.78382,7
156.1111,0.45,15.85788,7.136046,65.89516,29.65282,7
156.1111,0.5,17.97195,8.985974,74.04299,37.02149,7
173.3333,0.2,23.74158,4.748317,93.53238,18.70648,7
173.3333,0.25,21.3639,5.340975,85.43406,21.35851,7
173.3333,0.3,20.25411,6.076233,82.41594,24.72478,7
173.3333,0.35,19.98245,6.993856,82.49982,28.87494,7
173.3333,0.4,20.64925,8.259699,85.49837,34.19935,7
173.3333,0.45,22.91042,10.30969,93.93383,42.27022,7
190.5556,0.2,31.03472,6.206945,124.5549,24.91099,7
190.5556,0.25,28.0662,7.01655,114.6842,28.67105,7
190.5556,0.3,26.74649,8.023947,110.3345,33.10036,7
190.5556,0.35,26.92886,9.425102,111.1289,38.89513,7
207.7778,0.2,39.9311,7.98622,163.4449,32.68898,7
207.7778,0.25,36.35903,9.089758,149.8009,37.45021,7
207.7778,0.3,35.43005,10.62901,145.7609,43.72826,7
225.0,0.2,50.94616,10.18923,209.5911,41.91821,7
225.0,0.25,47.4734,11.86835,194.749,48.68726,7
70.0,0.2,2.968969,0.5937937,7.985376,1.597075,20
70.0,0.25,2.403606,0.6009015,7.095258,1.773814,20
70.0,0.3,2.552091,0.7656272,8.490566,2.54717,20
70.0,0.35,2.499591,0.8748567,8.915603,3.120461,20
70.0,0.4,2.431113,0.9724451,8.922797,3.569119,20
70.0,0.45,2.375172,1.068827,8.886951,3.999128,20
70.0,0.5,2.363899,1.18195,9.039563,4.519782,20
70.0,0.55,2.42729,1.335009,9.536634,5.245149,20
70.0,0.6,2.610118,1.566071,10.47245,6.283471,20
70.0,0.65,2.926284,1.902084,11.95232,7.76901,20
87.22222,0.2,5.314299,1.06286,17.68362,3.536723,20
87.22222,0.25,4.594403,1.148601,15.66569,3.916423,20
87.22222,0.3,4.121239,1.236372,14.39481,4.318443,20
87.22222,0.35,3.823637,1.338273,13.60258,4.760904,20
87.22222,0.4,3.663572,1.465429,13.48589,5.394356,20
87.22222,0.45,3.641745,1.638785,13.82117,6.219525,20
87.22222,0.5,3.754552,1.877276,14.55739,7.278695,20
87.22222,0.55,3.994999,2.197249,15.86306,8.724684,20
87.22222,0.6,4.413531,2.648119,17.86633,10.7198,20
87.22222,0.65,5.107131,3.319635,21.00448,13.65291,20
104.4444,0.2,7.551044,1.510209,25.47174,5.094349,20
104.4444,0.25,6.493061,1.623265,22.66793,5.666982,20
104.4444,0.3,5.88423,1.765269,21.1829,6.354871,20
104.4444,0.35,5.592454,1.957359,20.72827,7.254896,20
104.4444,0.4,5.494641,2.197856,20.79198,8.316791,20
104.4444,0.45,5.571882,2.507347,21.60349,9.721569,20
104.4444,0.5,5.843773,2.921887,23.09999,11.55,20
104.4444,0.55,6.346734,3.490704,25.53513,14.04432,20
104.4444,0.6,7.148733,4.28924,29.24864,17.54918,20
104.4444,0.65,8.425969,5.47688,34.85896,22.65832,20
121.6667,0.2,10.38414,2.076829,36.80899,7.361799,20
121.6667,0.25,9.138988,2.284747,33.23315,8.308286,20
121.6667,0.3,8.417896,2.525369,31.27061,9.381182,20
121.6667,0.35,8.080586,2.828205,30.74287,10.76,20
121.6667,0.4,8.0553,3.22212,31.21868,12.48747,20
121.6667,0.45,8.284757,3.728141,32.74924,14.73716,20
121.6667,0.5,8.791105,4.395552,35.3115,17.65575,20
121.6667,0.55,9.663217,5.31477,39.41455,21.67801,20
121.6667,0.6,11.03196,6.619176,45.45649,27.27389,20
138.8889,0.2,14.27399,2.854799,52.279,10.4558,20
138.8889,0.25,12.61542,3.153855,47.28036,11.82009,20
138.8889,0.3,11.78237,3.534712,44.96283,13.48885,20
138.8889,0.35,11.40961,3.993363,44.40545,15.54191,20
138.8889,0.4,11.47547,4.590189,45.36188,18.14475,20
138.8889,0.45,11.91547,5.361963,47.81195,21.51538,20
138.8889,0.5,12.76839,6.384193,51.94126,25.97063,20
138.8889,0.55,14.15445,7.784949,58.16749,31.99212,20
156.1111,0.2,19.26107,3.852215,72.45841,14.49168,20
156.1111,0.25,17.13215,4.283037,65.76851,16.44213,20
156.1111,0.3,16.10921,4.832763,62.75837,18.82751,20
156.1111,0.35,15.71587,5.500555,62.24013,21.78404,20
156.1111,0.4,15.90291,6.361164,63.90046,25.56018,20
156.1111,0.45,16.621,7.47945,67.5854,30.41343,20
156.1111,0.5,17.94921,8.974603,73.59161,36.79581,20
173.3333,0.2,25.44728,5.089455,98.16893,19.63379,20
173.3333,0.25,22.81499,5.703748,89.24456,22.31114,20
173.3333,0.3,21.54653,6.463959,85.35292,25.60588,20
173.3333,0.35,21.15036,7.402625,85.02533,29.75887,20
173.3333,0.4,21.51542,8.606167,87.41698,34.96679,20
173.3333,0.45,22.63324,10.18496,92.52901,41.63805,20
190.5556,0.2,33.08008,6.616016,129.8001,25.96002,20
190.5556,0.25,29.80619,7.451547,118.4595,29.61487,20
190.5556,0.3,28.26148,8.478444,113.4332,34.02996,20
190.5556,0.35,27.88702,9.760457,113.0696,39.57438,20
207.7778,0.2,42.34086,8.468172,168.6428,33.72856,20
207.7778,0.25,38.28427,9.571068,154.0034,38.50084,20
207.7778,0.3,36.43319,10.92996,147.6853,44.3056,20
225.0,0.2,53.418,10.6836,215.0724,43.01447,20
225.0,0.25,48.44427,12.11107,196.4158,49.10394,20
